Country,Year,PrevalenceHIV,Income,geo,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,World bank income group 2017,population
Afghanistan,1990,NA,1028,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,12200000
Afghanistan,1991,NA,1022,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,13000000
Afghanistan,1992,NA,941,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,14000000
Afghanistan,1993,NA,810,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,15100000
Afghanistan,1994,NA,725,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,16200000
Afghanistan,1995,NA,872,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,17100000
Afghanistan,1996,NA,895,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,17800000
Afghanistan,1997,NA,921,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,18400000
Afghanistan,1998,NA,947,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,18900000
Afghanistan,1999,NA,972,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,19400000
Afghanistan,2000,NA,962,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,20100000
Afghanistan,2001,NA,862,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,21000000
Afghanistan,2002,NA,1053,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,22000000
Afghanistan,2003,NA,1097,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,23100000
Afghanistan,2004,NA,1067,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,24100000
Afghanistan,2005,NA,1146,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,25100000
Afghanistan,2006,NA,1173,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,25900000
Afghanistan,2007,NA,1298,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,26600000
Afghanistan,2008,NA,1311,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,27300000
Afghanistan,2009,0.06,1548,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,28000000
Afghanistan,2010,0.06,1637,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,28800000
Afghanistan,2011,0.06,1695,afg,asia,asia_west,south_asia,g77,33,66,1946-11-19T00:00:00Z,South Asia,Low income,29700000
Albania,1990,NA,4350,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3280000
Albania,1991,NA,3081,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3280000
Albania,1992,NA,2877,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3240000
Albania,1993,NA,3172,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3190000
Albania,1994,NA,3457,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3140000
Albania,1995,NA,3941,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3110000
Albania,1996,NA,4326,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3090000
Albania,1997,NA,3909,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3090000
Albania,1998,NA,4434,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3100000
Albania,1999,NA,4912,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3120000
Albania,2000,NA,5305,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3120000
Albania,2001,NA,5730,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3120000
Albania,2002,NA,5913,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3120000
Albania,2003,NA,6274,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3110000
Albania,2004,NA,6672,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3100000
Albania,2005,NA,7075,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3080000
Albania,2006,NA,7476,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3050000
Albania,2007,NA,7977,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,3020000
Albania,2008,NA,8644,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,2990000
Albania,2009,NA,8994,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,2960000
Albania,2010,NA,9374,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,2940000
Albania,2011,NA,9640,alb,europe,europe_east,europe_central_asia,others,41,20,1955-12-14T00:00:00Z,Europe & Central Asia,Upper middle income,2930000
Algeria,1990,0.06,10113,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,25900000
Algeria,1991,0.06,9748,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,26600000
Algeria,1992,0.06,9693,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,27200000
Algeria,1993,0.06,9279,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,27800000
Algeria,1994,0.06,9006,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,28400000
Algeria,1995,0.06,9168,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,28900000
Algeria,1996,0.06,9375,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,29400000
Algeria,1997,0.06,9322,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,29900000
Algeria,1998,0.06,9646,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,30300000
Algeria,1999,0.06,9810,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,30800000
Algeria,2000,0.06,9885,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,31200000
Algeria,2001,0.06,10203,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,31600000
Algeria,2002,0.06,10634,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,32000000
Algeria,2003,0.06,11251,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,32400000
Algeria,2004,0.1,11575,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,32800000
Algeria,2005,0.1,12077,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,33300000
Algeria,2006,0.1,12088,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,33800000
Algeria,2007,0.1,12289,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,34300000
Algeria,2008,0.1,12314,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,34900000
Algeria,2009,NA,12285,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,35500000
Algeria,2010,NA,12494,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,36100000
Algeria,2011,NA,12606,dza,africa,africa_north,middle_east_north_africa,g77,28,3,1962-10-08T00:00:00Z,Middle East & North Africa,Upper middle income,36800000
Andorra,1990,NA,28417,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,54500
Andorra,1991,NA,28029,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,56700
Andorra,1992,NA,27218,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,58900
Andorra,1993,NA,26011,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,61000
Andorra,1994,NA,25907,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,62700
Andorra,1995,NA,26143,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,63900
Andorra,1996,NA,27180,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,64400
Andorra,1997,NA,29729,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,64300
Andorra,1998,NA,30819,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,64100
Andorra,1999,NA,31940,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,64400
Andorra,2000,NA,31662,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,65400
Andorra,2001,NA,31794,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,67300
Andorra,2002,NA,31866,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,70000
Andorra,2003,NA,34500,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,73200
Andorra,2004,NA,36330,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,76200
Andorra,2005,NA,39787,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,78900
Andorra,2006,NA,42738,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,81000
Andorra,2007,NA,43442,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,82700
Andorra,2008,NA,41426,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,83900
Andorra,2009,NA,41735,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,84500
Andorra,2010,NA,38982,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,84400
Andorra,2011,NA,41958,and,europe,europe_west,europe_central_asia,others,42.50779,1.52109,1993-07-28T00:00:00Z,Europe & Central Asia,High income,83800
Angola,1990,0.5,4232,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,12200000
Angola,1991,0.8,4056,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,12600000
Angola,1992,1,3656,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,13000000
Angola,1993,1.2,2663,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,13400000
Angola,1994,1.4,2669,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,13800000
Angola,1995,1.6,2859,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,14300000
Angola,1996,1.7,3091,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,14700000
Angola,1997,1.8,3246,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,15100000
Angola,1998,1.8,3376,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,15500000
Angola,1999,1.9,3389,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,15900000
Angola,2000,1.9,3387,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,16400000
Angola,2001,1.9,3417,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,17000000
Angola,2002,1.9,3759,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,17600000
Angola,2003,1.9,3819,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,18200000
Angola,2004,1.9,4087,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,18900000
Angola,2005,1.9,4667,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,19600000
Angola,2006,1.9,5445,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,20300000
Angola,2007,1.9,6453,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,21000000
Angola,2008,2,7103,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,21800000
Angola,2009,2.1,7039,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,22500000
Angola,2010,2.1,7047,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,23400000
Angola,2011,2.1,7094,ago,africa,africa_sub_saharan,sub_saharan_africa,g77,-12.5,18.5,1976-12-01T00:00:00Z,Sub-Saharan Africa,Lower middle income,24200000
Antigua and Barbuda,1990,NA,17154,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,66700
