country,geo,continent,year,hiv_prevalence,income,population,cen_Latitude,cen_Longitude,pct_chg_prevalence,cen_longitude
Afghanistan,afg,Asia,1979,NA,1155,13283279,33,66,NA,NA
Afghanistan,afg,Asia,1980,NA,1158,13211412,33,66,NA,NA
Afghanistan,afg,Asia,1981,NA,1284,12996923,33,66,NA,NA
Afghanistan,afg,Asia,1982,NA,1402,12667001,33,66,NA,NA
Afghanistan,afg,Asia,1983,NA,1454,12279095,33,66,NA,NA
Afghanistan,afg,Asia,1984,NA,1429,11912510,33,66,NA,NA
Afghanistan,afg,Asia,1985,NA,1384,11630498,33,66,NA,NA
Afghanistan,afg,Asia,1986,NA,1486,11438949,33,66,NA,NA
Afghanistan,afg,Asia,1987,NA,1230,11337932,33,66,NA,NA
Afghanistan,afg,Asia,1988,NA,1113,11375768,33,66,NA,NA
Afghanistan,afg,Asia,1989,NA,1087,11608351,33,66,NA,NA
Afghanistan,afg,Asia,1990,NA,1028,12067570,33,66,NA,NA
Afghanistan,afg,Asia,1991,NA,1022,12789374,33,66,NA,NA
Afghanistan,afg,Asia,1992,NA,941,13745630,33,66,NA,NA
Afghanistan,afg,Asia,1993,NA,810,14824371,33,66,NA,NA
Afghanistan,afg,Asia,1994,NA,725,15869967,33,66,NA,NA
Afghanistan,afg,Asia,1995,NA,872,16772522,33,66,NA,NA
Afghanistan,afg,Asia,1996,NA,895,17481800,33,66,NA,NA
Afghanistan,afg,Asia,1997,NA,921,18034130,33,66,NA,NA
Afghanistan,afg,Asia,1998,NA,947,18511480,33,66,NA,NA
Afghanistan,afg,Asia,1999,NA,972,19038420,33,66,NA,NA
Afghanistan,afg,Asia,2000,NA,962,19701940,33,66,NA,NA
Afghanistan,afg,Asia,2001,NA,862,20531160,33,66,NA,NA
Afghanistan,afg,Asia,2002,NA,1053,21487079,33,66,NA,NA
Afghanistan,afg,Asia,2003,NA,1097,22507368,33,66,NA,NA
Afghanistan,afg,Asia,2004,NA,1067,23499850,33,66,NA,NA
Afghanistan,afg,Asia,2005,NA,1146,24399948,33,66,NA,NA
Afghanistan,afg,Asia,2006,NA,1173,25183615,33,66,NA,NA
Afghanistan,afg,Asia,2007,NA,1298,25877544,33,66,NA,NA
Afghanistan,afg,Asia,2008,NA,1311,26528741,33,66,NA,NA
Afghanistan,afg,Asia,2009,0.06,1548,27207291,33,66,NA,NA
Afghanistan,afg,Asia,2010,0.06,1637,27962207,33,66,0,NA
Albania,alb,Europe,1979,NA,4201,2626290,41,20,NA,NA
Albania,alb,Europe,1980,NA,4218,2681245,41,20,NA,NA
Albania,alb,Europe,1981,NA,4227,2735329,41,20,NA,NA
Albania,alb,Europe,1982,NA,4237,2788315,41,20,NA,NA
Albania,alb,Europe,1983,NA,4248,2842620,41,20,NA,NA
Albania,alb,Europe,1984,NA,4259,2901590,41,20,NA,NA
Albania,alb,Europe,1985,NA,4267,2966799,41,20,NA,NA
Albania,alb,Europe,1986,NA,4281,3041003,41,20,NA,NA
Albania,alb,Europe,1987,NA,4294,3121336,41,20,NA,NA
Albania,alb,Europe,1988,NA,4307,3197064,41,20,NA,NA
Albania,alb,Europe,1989,NA,4325,3253659,41,20,NA,NA
Albania,alb,Europe,1990,NA,4350,3281453,41,20,NA,NA
Albania,alb,Europe,1991,NA,3081,3275438,41,20,NA,NA
Albania,alb,Europe,1992,NA,2877,3240613,41,20,NA,NA
Albania,alb,Europe,1993,NA,3172,3189623,41,20,NA,NA
Albania,alb,Europe,1994,NA,3457,3140634,41,20,NA,NA
Albania,alb,Europe,1995,NA,3941,3106727,41,20,NA,NA
Albania,alb,Europe,1996,NA,4326,3092034,41,20,NA,NA
Albania,alb,Europe,1997,NA,3909,3092471,41,20,NA,NA
Albania,alb,Europe,1998,NA,4434,3102898,41,20,NA,NA
Albania,alb,Europe,1999,NA,4912,3114851,41,20,NA,NA
Albania,alb,Europe,2000,NA,5305,3121965,41,20,NA,NA
Albania,alb,Europe,2001,NA,5730,3124093,41,20,NA,NA
Albania,alb,Europe,2002,NA,5913,3123112,41,20,NA,NA
Albania,alb,Europe,2003,NA,6274,3117045,41,20,NA,NA
