mode,year,month,NrPassengers,date
Boat,2007,1,4,2007-01-01
Boat,2007,2,3.6,2007-02-01
Boat,2007,3,4,2007-03-01
Boat,2007,4,4.3,2007-04-01
Boat,2007,5,4.9,2007-05-01
Boat,2007,6,5.8,2007-06-01
Boat,2007,7,6.521,2007-07-01
Boat,2007,8,6.572,2007-08-01
Boat,2007,9,5.469,2007-09-01
Boat,2007,10,5.145,2007-10-01
Boat,2007,11,3.763,2007-11-01
Boat,2007,12,2.985,2007-12-01
Boat,2008,1,3.175,2008-01-01
Boat,2008,2,3.111,2008-02-01
Boat,2008,3,3.512,2008-03-01
Boat,2008,4,4.164,2008-04-01
Boat,2008,5,4.015,2008-05-01
Boat,2008,6,5.189,2008-06-01
Boat,2008,7,6.016,2008-07-01
Boat,2008,8,5.8,2008-08-01
Boat,2008,9,4.587,2008-09-01
Boat,2008,10,4.285,2008-10-01
Boat,2008,11,3.488,2008-11-01
Boat,2008,12,3.007,2008-12-01
Boat,2009,1,3.014,2009-01-01
Boat,2009,2,3.196,2009-02-01
Boat,2009,3,3.33,2009-03-01
Boat,2009,4,4.049,2009-04-01
Boat,2009,5,4.119,2009-05-01
Boat,2009,6,4.9,2009-06-01
Boat,2009,7,6.444,2009-07-01
Boat,2009,8,5.903,2009-08-01
Boat,2009,9,4.696,2009-09-01
Boat,2009,10,4.212,2009-10-01
Boat,2009,11,3.576,2009-11-01
Boat,2009,12,3.113,2009-12-01
Boat,2010,1,3.207,2010-01-01
Boat,2010,2,3.195,2010-02-01
Boat,2010,3,3.481,2010-03-01
Boat,2010,4,4.452,2010-04-01
Boat,2010,5,4.415,2010-05-01
Boat,2010,6,5.411,2010-06-01
Boat,2010,7,6.513,2010-07-01
Boat,2010,8,6.269,2010-08-01
Boat,2010,9,4.699,2010-09-01
Boat,2010,10,4.402,2010-10-01
Boat,2010,11,3.731,2010-11-01
Boat,2010,12,3.156,2010-12-01
Boat,2011,1,3.14,2011-01-01
Boat,2011,2,3.284,2011-02-01
Boat,2011,3,3.674,2011-03-01
Boat,2011,4,4.251,2011-04-01
Boat,2011,5,4.431,2011-05-01
Boat,2011,6,5.474,2011-06-01
Boat,2011,7,6.581,2011-07-01
Boat,2011,8,6.733,2011-08-01
Boat,2011,9,5.003,2011-09-01
Boat,2011,10,4.484,2011-10-01
Bus,2007,1,335.819,2007-01-01
Bus,2007,2,338.675,2007-02-01
Bus,2007,3,339.867,2007-03-01
Bus,2007,4,352.162,2007-04-01
Bus,2007,5,354.367,2007-05-01
Bus,2007,6,350.543,2007-06-01
Bus,2007,7,357.519,2007-07-01
Bus,2007,8,355.479,2007-08-01
Bus,2007,9,372.598,2007-09-01
Bus,2007,10,368.847,2007-10-01
Bus,2007,11,330.826,2007-11-01
Bus,2007,12,312.92,2007-12-01
Bus,2008,1,340.324,2008-01-01
Bus,2008,2,352.905,2008-02-01
Bus,2008,3,361.155,2008-03-01
Bus,2008,4,368.189,2008-04-01
Bus,2008,5,363.903,2008-05-01
Bus,2008,6,362.962,2008-06-01
Bus,2008,7,370.921,2008-07-01
Bus,2008,8,361.057,2008-08-01
Bus,2008,9,389.537,2008-09-01
Bus,2008,10,357.974,2008-10-01
